osmid,oneway,lanes,ref,highway,maxspeed,length,geometry,name,bridge,width,access,junction,tunnel,service,comprimento_m,comprimento_km
249980042,True,3,,primary,,112.239,"LINESTRING (-4791530.374793567 -2610560.9710333734, -4791499.2387319915 -2610538.9779571206, -4791466.477405851 -2610516.067024288, -4791429.808765584 -2610492.0933095603)",Rua Doutor Nilo Peçanha,,,,,,,121.90802440067364,0.12190802440067364
971570667,False,,,service,,83.368,"LINESTRING (-4791530.374793567 -2610560.9710333734, -4791524.385804962 -2610571.44221181, -4791515.135155277 -2610589.2082057036, -4791510.058986497 -2610594.4377643275, -4791502.1441707015 -2610593.5440290174, -4791462.436508335 -2610576.5147573953)",,,,,,,,90.5514374480538,0.0905514374480538
971623378,False,,,service,,23.811999999999998,"LINESTRING (-4791530.374793567 -2610560.9710333734, -4791536.475101662 -2610553.205215609, -4791537.309997844 -2610552.1061654906, -4791544.60142449 -2610539.4489782145)",,,,,,,,25.86267648286784,0.02586267648286784
203109615,False,,,residential,,33.683,"LINESTRING (-4791619.263406965 -2610360.7155579384, -4791650.867010402 -2610342.285558325)",,,,,,,,36.58486894794676,0.03658486894794676
249980046,False,2,,tertiary,50,87.117,"LINESTRING (-4791619.263406965 -2610360.7155579384, -4791664.815342598 -2610443.6508118063)",Avenida Dezoito do Forte,,,,,,,94.62153652322745,0.09462153652322745
249980046,False,2,,tertiary,50,39.624,"LINESTRING (-4791619.263406965 -2610360.7155579384, -4791598.691565067 -2610322.913549541)",Avenida Dezoito do Forte,,,,,,,43.03710629177664,0.043037106291776636
158977677,False,2,,residential,30,77.134,"LINESTRING (-4791664.815342598 -2610443.6508118063, -4791719.5177403735 -2610380.196307376)",Rua Floriano Lima,,,,,,,83.77843669417581,0.08377843669417581
249980046,False,2,,tertiary,50,69.261,"LINESTRING (-4791664.815342598 -2610443.6508118063, -4791696.8196962 -2610511.7312214035)",Avenida Dezoito do Forte,,,,,,,75.22779287220153,0.07522779287220153
249980046,False,2,,tertiary,50,87.117,"LINESTRING (-4791664.815342598 -2610443.6508118063, -4791619.263406965 -2610360.7155579384)",Avenida Dezoito do Forte,,,,,,,94.62153652322745,0.09462153652322745
203111810,False,,,residential,,57.76,"LINESTRING (-4791050.242697827 -2609331.7348331474, -4790991.978076345 -2609354.9822609085)",Rua General Bruce,,,,,,,62.731244319446986,0.06273124431944699
249980048,False,,,tertiary,50,28.378,"LINESTRING (-4791050.242697827 -2609331.7348331474, -4791043.875222952 -2609301.5796472244)",Avenida Paula Lemos,,,,,,,30.82012287981123,0.03082012287981123
249980048,False,,,tertiary,50,146.911,"LINESTRING (-4791050.242697827 -2609331.7348331474, -4791069.645685071 -2609423.6982264677, -4791088.859429182 -2609486.3882092303)",Avenida Paula Lemos,,,,,,,159.556286116055,0.159556286116055
203111787,False,,,residential,,34.058,"LINESTRING (-4791088.859429182 -2609486.3882092303, -4791054.873588644 -2609500.988934951)",Rua Valdemar Farreti,,,,,,,36.98943833873982,0.03698943833873981
249980048,False,,,tertiary,50,72.372,"LINESTRING (-4791088.859429182 -2609486.3882092303, -4791108.151096937 -2609529.598665855, -4791124.737701065 -2609556.1191700106)",Avenida Paula Lemos,,,,,,,78.60159606490532,0.07860159606490533
249980048,False,,,tertiary,50,146.911,"LINESTRING (-4791088.859429182 -2609486.3882092303, -4791069.645685071 -2609423.6982264677, -4791050.242697827 -2609331.7348331474)",Avenida Paula Lemos,,,,,,,159.556286116055,0.159556286116055
